id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Riverbend Letters,Willow Hart,folk,nostalgic,0.38,84,0.55,0.42,0.81
12,Concrete Bloom,MC Solace,hip hop,energetic,0.79,96,0.68,0.85,0.08
13,Piano in the Rain,Elena Voss,classical,sad,0.22,58,0.30,0.20,0.95
14,Slow Burn Confession,Marlowe James,r&b,relaxed,0.44,88,0.62,0.58,0.40
15,Broken Glass Anthem,Riot Static,punk,angry,0.96,168,0.35,0.50,0.03
16,Cherry Skyline,NEON DAWN,k-pop,happy,0.85,126,0.88,0.90,0.12
17,Still Water,Elena Voss,classical,calm,0.15,55,0.60,0.15,0.97
18,Heartline,Marlowe James,r&b,sad,0.30,70,0.28,0.48,0.35
